#         t          x          y          z         vx         vy         vz
      0.000     -2.040      3.101     -1.468      0.333      4.370     -0.438
      0.071     -1.858      3.110     -1.464     -1.139      8.053     -0.363
      0.142     -1.905      3.225     -1.549     -3.280      9.139     -0.935
      0.214     -2.231      3.390     -1.588     -2.952      8.016      0.074
      0.285     -2.459      3.795     -1.615     -4.317      8.165     -0.190
      0.357     -2.625      4.360     -1.573     -6.053      7.143      0.596
      0.428     -3.308      4.661     -1.629     -9.208     12.734     -2.319
      0.500     -3.459      5.590     -1.824     -4.546     10.465     -2.788
      0.571     -3.681      6.124     -2.044     -3.208      6.680     -1.921
      0.642     -3.915      6.573     -2.156     -5.243      4.247     -1.808
      0.714     -4.009      7.012     -2.220     -7.778      5.746     -0.884
      0.785     -4.443      7.440     -2.561     -8.800      9.273     -6.522
      0.857     -5.138      8.199     -3.183    -10.326      6.867     -9.653
      0.928     -5.940      9.087     -3.711    -11.843     10.995     -9.231
      1.000     -6.572     10.251     -4.302     -6.097     10.331     -7.739
      1.071     -7.013     11.070     -4.874     -4.015     10.870     -8.509
      1.142     -7.481     12.063     -5.617     -5.042     16.880    -10.645
      1.214     -8.076     13.188     -6.395     -8.099     15.290    -11.181
      1.285     -8.678     14.521     -7.153     -9.210     16.221    -10.914
      1.357     -9.255     15.873     -7.942    -11.283     18.143    -11.245
      1.428     -9.925     17.084     -8.833    -11.090     14.204    -13.489
      1.500    -10.692     18.317     -9.815    -12.994     21.778    -14.820
      1.571    -11.496     19.717    -10.853    -11.205     23.821    -15.701
      1.642    -12.401     21.412    -11.797    -14.115     26.078    -12.714
      1.714    -13.336     23.290    -12.740    -12.054     27.307    -14.223
      1.785    -14.359     25.289    -13.754    -14.034     25.612    -15.659
      1.857    -15.360     27.233    -14.820    -17.943     27.646    -15.167
      1.928    -16.617     29.297    -15.781    -24.182     29.685    -15.032
      2.000    -18.264     31.618    -16.882    -22.647     35.022    -15.280
      2.071    -19.762     34.210    -17.994    -22.326     39.564    -16.565
      2.142    -21.283     37.041    -19.179    -17.880     40.379    -15.546
      2.214    -22.648     39.925    -20.436    -19.273     39.086    -19.063
      2.285    -24.290     42.826    -21.829    -23.487     38.863    -19.202
      2.357    -25.916     45.866    -23.155    -24.857     43.964    -19.266
      2.428    -27.646     49.108    -24.486    -23.914     44.045    -19.480
      2.500    -29.409     52.185    -25.888    -24.624     49.836    -20.183
      2.571    -31.110     55.977    -27.363    -24.877     54.515    -21.943
      2.642    -33.164     59.743    -28.766    -26.105     54.561    -19.376
      2.714    -34.975     63.745    -30.283    -26.365     55.537    -22.125
      2.785    -36.922     67.785    -31.898    -28.148     58.246    -24.087
      2.857    -39.089     72.123    -33.611    -31.548     63.657    -23.868
      2.928    -41.238     76.882    -35.397    -30.654     66.509    -27.927
      3.000    -43.309     81.837    -37.419    -30.861     73.132    -28.376
      3.071    -45.060     86.857    -39.467    -34.365     79.224    -28.066
      3.142    -47.311     92.907    -41.536    -34.727     81.066    -30.330
      3.214    -49.610     99.175    -43.715    -36.670     83.107    -30.239
      3.285    -52.367    105.496    -45.729    -39.972     89.270    -30.469
      3.357    -55.275    112.352    -47.926    -43.257     96.826    -31.595
      3.428    -58.703    119.901    -50.121    -42.953    110.976    -30.478
      3.500    -61.695    128.236    -52.272    -40.487    120.634    -30.216
      3.571    -64.631    137.399    -54.369    -42.301    132.562    -28.111
      3.642    -67.806    147.401    -56.319    -43.684    149.009    -27.655
      3.714    -70.886    158.790    -58.079    -43.380    171.050    -21.100
      3.785    -73.956    171.808    -59.240    -43.633    191.522    -10.847
      3.857    -77.044    186.709    -59.394    -36.402    227.610     10.369
      3.928    -78.613    204.396    -57.228     -5.527    264.533     57.202
      4.000    -76.782    223.088    -50.337     57.264    245.464    129.536
      4.071    -71.183    238.442    -40.119     91.704    182.797    148.359
      4.142    -64.423    249.435    -30.155     85.095    125.111    128.976
      4.214    -58.667    257.233    -21.896     75.038     88.989    103.645
      4.285    -53.722    262.491    -15.127     67.387     65.343     86.127
      4.357    -49.140    266.372     -9.698     63.071     44.877     70.919
      4.428    -44.627    268.825     -5.007     61.677     26.037     62.861
      4.500    -40.399    270.107     -0.916     58.564      8.494     52.785
      4.571    -36.387    270.189      2.733     53.292     -6.088     49.852
      4.642    -32.516    269.370      6.139     51.853    -17.512     43.331
      4.714    -28.938    267.805      9.112     52.057    -28.722     37.673
      4.785    -25.406    265.390     11.674     50.892    -40.094     32.726
      4.857    -21.877    262.111     14.001     49.720    -51.228     29.935
      4.928    -18.539    258.179     16.080     44.859    -60.433     25.895
      5.000    -15.489    253.510     17.788     42.867    -70.802     21.373
      5.071    -12.635    248.106     19.089     36.996    -80.087     14.598
      5.142     -9.851    242.108     19.910     36.851    -88.499      5.157
      5.214     -7.411    235.551     19.957     29.930    -92.827     -6.112
      5.285     -5.134    228.926     18.958     32.277    -89.502    -19.831
      5.357     -2.718    222.390     17.426     36.906    -89.566    -23.520
      5.428     -0.193    215.533     15.875     37.317    -98.963    -21.078
      5.500      2.318    207.902     14.407     35.770   -113.128    -18.352
      5.571      4.722    199.279     13.117     32.340   -129.952    -15.761
      5.642      6.728    189.104     11.693     24.219   -151.513    -20.347
      5.714      7.982    177.407      9.808     10.910   -174.894    -32.404
      5.785      8.144    163.173      6.921    -11.862   -222.750    -49.682
      5.857      4.217    144.622      1.556   -171.695   -232.797    -87.650
      5.928     -4.428    135.210     -0.777    -81.194    -73.050    -13.940
      6.000     -6.943    132.120     -0.135     24.733    -35.426     24.111
      6.071     -5.024    131.687      2.049     78.954     -0.042     48.382
      6.142      0.167    133.569      5.145    125.476     42.323     72.757
      6.214     13.886    139.180     11.814    184.916    133.850    119.397
      6.285     21.772    144.434     19.308     37.427    -44.536     31.875
      6.357     22.968    139.938     18.605     41.598    -50.427     22.526
      6.428     25.463    137.897     19.840     41.871    -26.795     18.417
      6.500     28.518    136.613     21.991     42.403    -20.295     21.627
      6.571     31.588    135.051     24.013     41.792    -31.140     21.620
      6.642     34.793    133.244     26.799     39.795    -23.344     34.002
      6.714     37.553    131.613     29.572     38.150    -25.978     33.807
      6.785     40.278    129.512     32.342     43.464    -27.690     40.540
      6.857     43.091    127.200     34.512     41.395    -30.905     28.541
      6.928     45.851    124.726     36.437     42.849    -31.450     24.293
      7.000     48.601    122.360     38.509     38.411    -28.491     22.220
      7.071     50.998    120.010     40.308     38.667    -22.485     29.482
      7.142     53.194    118.041     41.945     32.964    -20.693     20.061
      7.214     57.674    115.678     43.758     36.469    -24.659     22.228
      7.285     60.284    114.019     45.346     32.322    -27.288     21.486
      7.357     62.792    112.073     47.031     30.526    -26.072     22.818
      7.428     65.248    110.378     48.918     30.316    -24.021     26.973
      7.500     67.534    108.652     50.730     29.535    -25.224     24.567
      7.571     69.582    106.593     52.533     28.098    -27.913     23.540
      7.642     71.499    104.589     54.098     30.751    -25.527     30.241
      7.714     73.662    102.946     55.843     28.063    -21.789     25.603
      7.785     75.387    101.250     57.127     28.619    -20.979     18.810
      7.857     77.243    100.241     58.191     30.187    -16.837     18.873
      7.928     79.465     99.187     59.296     32.890    -20.183     18.244
      8.000     81.751     97.905     60.602     36.397    -16.893     21.714
      8.071     84.300     96.975     62.220     37.310    -17.411     23.040
      8.142     86.812     95.997     63.647     37.952    -19.805     22.981
      8.214     89.550     94.642     65.767     37.716    -17.150     29.704
      8.285     92.535     93.440     68.230     40.830    -17.011     35.227
      8.357     95.105     92.286     70.423     40.444    -23.275     38.945
      8.428     98.030     90.597     73.025     37.798    -23.002     37.161
      8.500    100.450     89.098     75.066     34.603    -25.186     32.605
      8.571    103.047     87.309     77.266     32.654    -24.985     26.250
      8.642    105.452     85.650     79.171     32.714    -25.732     26.812
      8.714    108.071     83.718     81.019     31.622    -25.694     20.140
      8.785    110.131     81.872     82.605     27.097    -27.648     14.564
      8.857    112.284     79.907     84.116     33.223    -25.997     18.938
      8.928    114.641     77.936     85.771     32.946    -26.046     22.001
      9.000    116.975     76.184     87.340     31.139    -24.303     20.363
      9.071    118.197     73.400     88.690     29.243    -24.094     20.110
      9.142    121.165     72.423     90.183     30.677    -27.823     19.344
      9.214    122.521     69.922     91.539     31.454    -25.342     21.909
      9.285    125.180     68.654     92.956     31.814    -25.925     21.461
      9.357    127.303     66.845     94.272     28.917    -25.897     18.072
      9.428    129.333     64.881     95.605     27.581    -29.417     20.671
      9.500    131.361     63.301     97.389     25.384    -22.342     24.151
      9.571    132.835     61.230     98.789     26.848    -17.037     26.743
      9.642    135.279     60.769    100.802     29.294    -13.683     24.791
      9.714    137.203     59.552    102.534     29.049    -14.807     22.091
      9.785    139.264     58.559    104.381     32.204    -17.974     24.958
      9.857    142.146     57.431    106.498     36.103    -16.410     25.949
      9.928    144.166     55.948    108.045     36.751    -17.116     29.705
     10.000    146.792     54.433    110.109     38.290    -19.841     31.636
     10.071    149.659     53.369    112.770     36.000    -21.954     31.721
     10.142    151.845     51.275    114.533     31.232    -19.702     34.906
     10.214    154.049     49.983    116.912     33.039    -17.698     32.279
     10.285    156.390     49.018    119.600     33.265    -18.435     32.066
     10.357    158.518     47.490    121.614     34.100    -16.895     29.990
     10.428    160.522     45.908    123.228     33.935    -19.399     24.336
     10.500    163.577     44.252    125.185     29.727    -26.735     20.304
     10.571    165.860     42.247    126.842     32.256    -31.854     18.110
     10.642    167.029     40.415    127.196     30.923    -31.062     17.105
     10.714    170.204     38.054    129.481     29.179    -30.468     17.690
     10.785    172.116     36.078    130.849     25.141    -23.949     18.407
     10.857    173.104     35.342    131.181     26.333    -20.113     18.393
     10.928    175.151     33.846    133.029     30.845    -17.149     24.191
     11.000    177.520     32.539    135.032     32.176    -16.964     27.221
     11.071    179.824     31.266    137.227     30.596    -20.373     26.886
     11.142    181.969     29.611    139.006     29.744    -21.887     28.867
     11.214    184.150     27.837    140.944     29.907    -22.399     28.909
     11.285    186.603     26.328    143.436     29.331    -18.345     28.478
     11.357    188.704     24.941    145.336     29.547    -22.662     27.773
