#         t          x          y          z         vx         vy         vz
      0.000     98.562    119.990    127.765     28.410   -173.920    -93.220
      0.100    101.016    102.167    117.964     20.661   -182.545   -102.796
      0.200    102.593     83.466    107.142     10.882   -191.462   -113.653
      0.300    103.055     63.872     95.158     -1.633   -200.428   -126.024
      0.400    102.080     43.404     81.851    -17.874   -208.921   -140.119
      0.500     99.227     22.165     67.045    -39.178   -215.860   -155.992
      0.600     93.912      0.416     50.587    -67.119   -219.127   -173.179
      0.700     85.420    -21.289     32.432   -102.735   -214.982   -189.919
      0.800     73.073    -41.960     12.829   -144.195   -198.436   -202.124
      0.900     56.671    -60.242     -7.486   -183.851   -167.199   -204.187
      1.000     36.916    -74.983    -27.373   -211.246   -127.615   -193.560
      1.100     15.175    -85.842    -45.847   -223.571    -89.562   -175.920
      1.200     -7.252    -93.227    -62.479   -224.961    -58.153   -156.705
      1.300    -29.513    -97.825    -77.251   -220.273    -33.791   -138.743
      1.400    -51.161   -100.273    -90.333   -212.691    -15.173   -122.894
      1.500    -71.993   -101.075   -101.936   -203.942     -0.870   -109.164
      1.600    -91.935   -100.606   -112.259   -194.896     10.259    -97.291
      1.700   -110.979    -99.141   -121.472   -185.975     19.041    -86.974
      1.800   -129.146    -96.885   -129.718   -177.369     26.067    -77.939
      1.900   -146.472    -93.994   -137.113   -169.155     31.756    -69.961
      2.000   -162.997    -90.586   -143.753   -161.352     36.410    -62.857
      2.100   -178.762    -86.753   -149.720   -153.950     40.250    -56.483
      2.200   -193.806    -82.568   -155.081   -146.928     43.441    -50.723
      2.300   -208.166    -78.091   -159.891   -140.258     46.107    -45.483
      2.400   -221.874    -73.368   -164.200   -133.911     48.343    -40.688
      2.500   -234.963    -68.440   -168.048   -127.859     50.221    -36.275
      2.600   -247.459    -63.339   -171.471   -122.076     51.801    -32.196
      2.700   -259.390    -58.092   -174.501   -116.537     53.128    -28.406
      2.800   -270.778    -52.724   -177.165   -111.221     54.239    -24.872
      2.900   -281.644    -47.254   -179.487   -106.108     55.165    -21.564
      3.000   -292.009    -41.699   -181.488   -101.180     55.929    -18.456
      3.100   -301.889    -36.075   -183.187    -96.420     56.552    -15.528
      3.200   -311.300    -30.395   -184.602    -91.815     57.051    -12.760
      3.300   -320.259    -24.670   -185.747    -87.351     57.441    -10.137
      3.400   -328.777    -18.912   -186.636    -83.016     57.732     -7.645
      3.500   -336.868    -13.128   -187.282    -78.800     57.935     -5.272
