#         t          x          y          z         vx         vy         vz
      0.000   -377.769    611.470   -284.598     73.019    -72.140     49.539
      0.071   -372.424    606.231   -281.089     74.906    -76.624     52.864
      0.142   -367.218    600.876   -277.493     73.474    -75.615     50.521
      0.214   -360.955    594.786   -273.706     70.522    -78.502     55.734
      0.285   -356.479    589.846   -270.415     71.384    -80.142     50.253
      0.357   -351.275    584.136   -266.958     71.853    -82.677     48.391
      0.428   -346.164    578.315   -263.616     68.753    -81.686     45.384
      0.500   -341.658    572.600   -260.520     68.574    -82.349     41.911
      0.571   -336.533    566.218   -256.782     65.064    -82.205     44.274
      0.642   -331.961    560.216   -253.511     63.818    -84.019     44.628
      0.714   -327.758    554.327   -250.352     57.479    -82.547     43.838
      0.785   -323.827    548.528   -247.263     52.425    -80.630     43.668
      0.857   -320.259    543.007   -244.385     46.861    -76.354     41.713
      0.928   -316.794    537.686   -241.540     45.480    -72.233     39.632
      1.000   -314.214    532.795   -238.249     45.724    -68.387     41.538
      1.071   -310.343    527.687   -235.124     42.266    -65.204     48.624
      1.142   -307.194    523.017   -231.547     45.337    -62.334     49.018
      1.214   -304.281    518.555   -227.627     47.553    -61.543     53.146
      1.285   -300.388    514.017   -223.913     47.626    -61.308     58.770
      1.357   -296.831    509.684   -219.786     52.394    -61.145     59.586
      1.428   -292.963    505.268   -215.524     54.797    -62.492     62.578
      1.500   -288.925    500.845   -211.064     59.103    -62.830     62.794
      1.571   -284.717    496.352   -206.496     60.426    -63.558     63.427
      1.642   -280.215    491.721   -201.828     63.578    -65.108     66.025
      1.714   -275.575    487.014   -197.069     69.988    -68.242     66.873
      1.785   -270.587    482.119   -192.133     73.807    -69.135     68.162
      1.857   -265.427    477.270   -187.315     76.771    -71.903     69.467
      1.928   -260.032    472.146   -182.153     77.982    -70.881     70.997
      2.000   -254.420    467.033   -177.261     79.311    -73.353     71.503
      2.071   -248.716    461.651   -172.150     81.618    -77.853     72.466
      2.142   -242.651    456.007   -167.017     84.151    -81.335     75.254
      2.214   -236.330    450.145   -161.764     85.923    -82.568     74.004
      2.285   -230.092    444.389   -156.658     90.348    -84.263     71.716
      2.357   -223.995    438.140   -151.064     92.434    -87.660     71.408
      2.428   -217.599    431.698   -145.704     89.705    -91.722     71.346
      2.500   -211.175    425.088   -140.457     91.211    -94.631     73.153
      2.571   -204.662    418.259   -135.168     92.856    -96.488     73.936
      2.642   -198.107    411.242   -129.780     91.253    -96.540     73.564
      2.714   -191.413    404.204   -124.480     92.870    -98.845     73.100
      2.785   -184.533    396.959   -119.110     93.986   -102.053     76.988
      2.857   -177.800    389.604   -113.566     96.495   -104.213     77.354
      2.928   -170.881    382.001   -107.939     95.874   -105.768     77.158
      3.000   -163.829    374.137   -102.281     96.864   -111.338     79.599
      3.071   -156.724    365.918    -96.370     97.658   -112.704     82.887
      3.142   -149.330    357.470    -90.375    101.441   -118.938     83.558
      3.214   -142.026    348.791    -84.307    102.787   -121.866     83.625
      3.285   -134.456    339.746    -78.223    107.228   -130.070     87.452
      3.357   -127.547    330.778    -71.807    112.195   -134.279     86.400
      3.428   -118.776    320.123    -65.387    113.341   -144.925     88.253
      3.500   -110.562    309.513    -59.231    119.245   -158.332     87.460
      3.571   -102.057    297.829    -52.993    116.906   -169.736     90.339
      3.642    -93.466    285.375    -46.920    122.861   -182.883     86.622
      3.714    -84.410    271.683    -41.131    124.345   -200.688     82.364
      3.785    -75.738    256.193    -34.917    122.870   -226.948     70.977
      3.857    -66.474    239.150    -30.995    122.896   -260.235     53.356
      3.928    -58.444    219.148    -28.238     96.039   -299.594     13.183
      4.000    -53.564    197.828    -29.500     42.445   -285.140    -53.016
      4.071    -51.602    179.822    -35.191     18.750   -232.686    -69.002
      4.142    -50.680    165.337    -39.965     21.041   -186.377    -59.201
      4.214    -49.462    153.340    -43.618     26.465   -159.806    -41.515
      4.285    -48.084    142.943    -46.060     27.798   -135.982    -25.960
      4.357    -46.693    133.955    -47.230     26.380   -115.338    -14.801
      4.428    -45.545    126.323    -47.893     22.399    -99.893     -4.523
      4.500    -44.457    119.925    -48.204     23.729    -83.067      0.214
      4.571    -43.258    114.450    -48.187     19.619    -67.658      4.649
      4.642    -41.888    108.942    -46.716     15.147    -54.537      9.112
      4.714    -40.770    105.474    -45.961     14.992    -43.839     14.263
      4.785    -39.781    102.888    -45.079     13.009    -32.744     14.933
      4.857    -38.681    100.987    -43.941     16.397    -22.298     16.732
      4.928    -37.542     99.909    -42.790     17.053    -11.464     17.522
      5.000    -36.144     99.468    -41.602     19.411     -4.011     21.755
      5.071    -34.727     99.494    -40.001     20.124      4.976     24.413
      5.142    -33.117    100.169    -38.249     22.924     13.845     27.897
      5.214    -31.284    101.385    -36.205     27.104     19.607     33.602
      5.285    -29.414    103.097    -33.765     26.634     28.545     37.542
      5.357    -27.218    105.515    -31.111     30.340     37.066     42.080
      5.428    -24.987    108.521    -27.996     34.204     48.242     45.783
      5.500    -22.455    112.281    -24.627     37.578     55.709     52.090
      5.571    -19.747    116.898    -20.725     44.132     70.278     58.800
